outbound_departure_airport;outbound_arrival_airport;outbound_departure_time;outbound_arrival_time;inbound_departure_airport;inbound_arrival_airport;inbound_departure_time;inbound_arrival_time;total_price;taxes
NBO;MBA; Mon 13, Dec6:00  GMT+3 2021; Mon 13, Dec7:10  GMT+3 2021;MBA;NBO; Mon 20, Dec7:30  GMT+3 2021; Mon 20, Dec8:40  GMT+3 2021;123.0;12.0
NBO;MBA; Mon 13, Dec6:00  GMT+3 2021; Mon 13, Dec7:10  GMT+3 2021;MBA;NBO; Mon 20, Dec20:10 GMT+3 2021; Mon 20, Dec21:20 GMT+3 2021;135.0;12.0
NBO;MBA; Mon 13, Dec18:40 GMT+3 2021; Mon 13, Dec19:50 GMT+3 2021;MBA;NBO; Mon 20, Dec7:30  GMT+3 2021; Mon 20, Dec8:40  GMT+3 2021;132.0;12.0
NBO;MBA; Mon 13, Dec18:40 GMT+3 2021; Mon 13, Dec19:50 GMT+3 2021;MBA;NBO; Mon 20, Dec20:10 GMT+3 2021; Mon 20, Dec21:20 GMT+3 2021;144.0;12.0
